tipo_inmueble,valor_venta,area,nro_cuartos,nro_banos,nro_garajes,zona,barrio,nombre_comun_barrio
Apartamento,900000000,0.0,3,3,2.0,Norte,MOLINOS NORTE,Santa Paula
Apartamento,2400000000,0.0,3,5,3.0,Norte,BELLAVISTA,ROSALES
Apartamento,132000000,47.0,3,1,0.0,Occidental,LOS PANTANOS,CALANDAIMA
Casa,2500000000,540.0,4,5,4.0,Noroccidente,SAN JOSE DE BAVARIA,san jose de bavaria
Apartamento,1250000000,220.0,3,4,2.0,Norte,SANTA BARBARA CENTRAL,SANTA BARBARA
Apartamento,169400000,41.0,1,1,1.0,Sur,SANTA LUCIA,Tunal
Apartamento,1300000000,230.0,4,5,2.0,Norte,COUNTRY CLUB,ALTOS DEL COUNTRY
Apartamento,395000000,85.0,3,2,1.0,Noroccidente,GILMAR,COLINA GILMAR
Apartamento,320000000,41.0,1,2,1.0,Chapinero,CHAPINERO CENTRAL,CHAPINERO CENTRAL
Apartamento,1350000000,200.0,3,3,2.0,Norte,LOS ROSALES,ROSALES
Apartamento,279920000,43.32,1,2,1.0,Noroccidente,ESTORIL,PASADENA
Apartamento,763100000,59.0,1,1,0.0,Norte,SANTA ANA ORIENTAL,
Apartamento,920000000,156.0,2,3,2.0,Norte,EL NOGAL,EL NOGAL
Apartamento,3147447500,254.0,2,3,2.0,Norte,BELLAVISTA,BELLAVISTA
Apartamento,640000000,127.0,3,3,2.0,Occidental,LA ESPERANZA,LA FELICIDAD
Apartamento,425000000,88.0,3,2,2.0,Norte,NUEVA CASTILLA TINTAL,NUEVA CASTILLA TINTAL
Apartamento,1478000000,182.0,3,4,2.0,Norte,LA CAROLINA,La Carolina
Apartamento,750000000,141.0,3,3,2.0,Norte,URBANIZACION SANTA COLOMA,LA CALLEJA
Apartamento,1250000000,169.0,3,4,2.0,Norte,CONTADOR,Bella Suiza
Apartamento,1686500000,108.0,2,3,2.0,Norte,SANTA ANA ORIENTAL,
Apartamento,1070000000,152.0,3,3,3.0,Norte,SANTA BARBARA OCCIDENTAL,SANTA BARBARA OCCIDENTAL
Casa,990000000,295.0,3,4,2.0,Noroccidente,NIZA SUBA,LINDARAJA
